distance id optim_v-1 optim_v-2 optim_v-3 optim_v-4 optim_v-5 optim_v-6 optim_v-7 optim_v-8 optim_v-9 optim_v-10 optim_v-11 optim_v-12 optim_v-13 optim_v-14 optim_v-15 optim_v-16 
6.328523 48 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436274 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
6.32719 49 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142498 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
6.329056 50 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142478 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
6.39759 51 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832303 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
6.398523 52 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832283 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
6.412256 53 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572779 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
6.32199 54 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572759 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
6.320123 55 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065956 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
6.39559 56 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065936 0.6648994 0.120349 0.1430494 0.4412151 0.8725327 
6.324523 57 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6649004 0.120349 0.1430494 0.4412151 0.8725327 
6.318923 58 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6648984 0.120349 0.1430494 0.4412151 0.8725327 
6.31919 59 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.12035 0.1430494 0.4412151 0.8725327 
6.324123 60 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.120348 0.1430494 0.4412151 0.8725327 
6.392923 61 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430504 0.4412151 0.8725327 
6.318923 62 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430484 0.4412151 0.8725327 
6.324123 63 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412161 0.8725327 
6.393056 64 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412141 0.8725327 
6.411056 65 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725337 
6.410523 66 0.5881469 0.04581849 0.549136 0.2648361 0.8747025 0.8134406 0.436275 0.1142488 0.6832293 0.1572769 0.3065946 0.6648994 0.120349 0.1430494 0.4412151 0.8725317 
13.19226 67 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 
13.10826 68 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 
13.10826 69 0.999999 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 
13.10692 70 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 
13.19106 71 1 0.999999 1 1 0 0 0 1 1 0 1 0 1 0 1 0 
13.17306 72 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 
13.10426 73 1 1 0.999999 1 0 0 0 1 1 0 1 0 1 0 1 0 
13.19079 74 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 
13.10679 75 1 1 1 0.999999 0 0 0 1 1 0 1 0 1 0 1 0 
13.10746 76 1 1 1 1 1e-06 0 0 1 1 0 1 0 1 0 1 0 
13.19426 77 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 
13.10746 78 1 1 1 1 0 1e-06 0 1 1 0 1 0 1 0 1 0 
13.17679 79 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 
13.10826 80 1 1 1 1 0 0 1e-06 1 1 0 1 0 1 0 1 0 
13.17679 81 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 
13.17612 82 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 
13.11012 83 1 1 1 1 0 0 0 0.999999 1 0 1 0 1 0 1 0 
13.18039 84 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 
13.18132 85 1 1 1 1 0 0 0 1 0.999999 0 1 0 1 0 1 0 
13.11052 86 1 1 1 1 0 0 0 1 1 1e-06 1 0 1 0 1 0 
13.19626 87 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 
13.18079 88 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 
13.10892 89 1 1 1 1 0 0 0 1 1 0 0.999999 0 1 0 1 0 
13.10839 90 1 1 1 1 0 0 0 1 1 0 1 1e-06 1 0 1 0 
13.17679 91 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 
13.10466 92 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 
13.18652 93 1 1 1 1 0 0 0 1 1 0 1 0 0.999999 0 1 0 
13.18679 94 1 1 1 1 0 0 0 1 1 0 1 0 1 1e-06 1 0 
13.10146 95 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 
13.10172 96 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 
13.17119 97 1 1 1 1 0 0 0 1 1 0 1 0 1 0 0.999999 0 
13.18866 98 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 1e-06 
13.18879 99 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 
8.583856 100 0.8031775 0.5440016 0.7845344 0.648669 0.4180158 0.3887391 0.2084936 0.576704 0.8486169 0.07516184 0.6686251 0.317752 0.5796193 0.06836259 0.7329596 0.4169789 
8.660523 101 0.8031785 0.5440016 0.7845344 0.648669 0.4180158 0.3887391 0.2084936 0.576704 0.8486169 0.07516184 0.6686251 0.317752 0.5796193 0.06836259 0.7329596 0.4169789 
8.591856 102 0.8031765 0.5440016 0.7845344 0.648669 0.4180158 0.3887391 0.2084936 0.576704 0.8486169 0.07516184 0.6686251 0.317752 0.5796193 0.06836259 0.7329596 0.4169789 
8.589056 103 0.8031775 0.5440026 0.7845344 0.648669 0.4180158 0.3887391 0.2084936 0.576704 0.8486169 0.07516184 0.6686251 0.317752 0.5796193 0.06836259 0.7329596 0.4169789 
8.667323 104 0.8031775 0.5440006 0.7845344 0.648669 0.4180158 0.3887391 0.2084936 0.576704 0.8486169 0.07516184 0.6686251 0.317752 0.5796193 0.06836259 0.7329596 0.4169789 
8.66519 105 0.8031775 0.5440016 0.7845354 0.648669 0.4180158 0.3887391 0.2084936 0.576704 0.8486169 0.07516184 0.6686251 0.317752 0.5796193 0.06836259 0.7329596 0.4169789 
8.59439 106 0.8031775 0.5440016 0.7845334 0.648669 0.4180158 0.3887391 0.2084936 0.576704 0.8486169 0.07516184 0.6686251 0.317752 0.5796193 0.06836259 0.7329596 0.4169789 
8.591456 107 0.8031775 0.5440016 0.7845344 0.64867 0.4180158 0.3887391 0.2084936 0.576704 0.8486169 0.07516184 0.6686251 0.317752 0.5796193 0.06836259 0.7329596 0.4169789 
8.672256 108 0.8031775 0.5440016 0.7845344 0.648668 0.4180158 0.3887391 0.2084936 0.576704 0.8486169 0.07516184 0.6686251 0.317752 0.5796193 0.06836259 0.7329596 0.4169789 
8.663723 109 0.8031775 0.5440016 0.7845344 0.648669 0.4180168 0.3887391 0.2084936 0.576704 0.8486169 0.07516184 0.6686251 0.317752 0.5796193 0.06836259 0.7329596 0.4169789 
8.587456 110 0.8031775 0.5440016 0.7845344 0.648669 0.4180148 0.3887391 0.2084936 0.576704 0.8486169 0.07516184 0.6686251 0.317752 0.5796193 0.06836259 0.7329596 0.4169789 
8.590256 111 0.8031775 0.5440016 0.7845344 0.648669 0.4180158 0.3887401 0.2084936 0.576704 0.8486169 0.07516184 0.6686251 0.317752 0.5796193 0.06836259 0.7329596 0.4169789 
8.58759 112 0.8031775 0.5440016 0.7845344 0.648669 0.4180158 0.3887381 0.2084936 0.576704 0.8486169 0.07516184 0.6686251 0.317752 0.5796193 0.06836259 0.7329596 0.4169789 
8.656923 113 0.8031775 0.5440016 0.7845344 0.648669 0.4180158 0.3887391 0.2084946 0.576704 0.8486169 0.07516184 0.6686251 0.317752 0.5796193 0.06836259 0.7329596 0.4169789 
8.588256 114 0.8031775 0.5440016 0.7845344 0.648669 0.4180158 0.3887391 0.2084926 0.576704 0.8486169 0.07516184 0.6686251 0.317752 0.5796193 0.06836259 0.7329596 0.4169789 
8.664123 115 0.8031775 0.5440016 0.7845344 0.648669 0.4180158 0.3887391 0.2084936 0.576705 0.8486169 0.07516184 0.6686251 0.317752 0.5796193 0.06836259 0.7329596 0.4169789 
8.65599 116 0.8031775 0.5440016 0.7845344 0.648669 0.4180158 0.3887391 0.2084936 0.576703 0.8486169 0.07516184 0.6686251 0.317752 0.5796193 0.06836259 0.7329596 0.4169789 
8.580923 117 0.8031775 0.5440016 0.7845344 0.648669 0.4180158 0.3887391 0.2084936 0.576704 0.8486179 0.07516184 0.6686251 0.317752 0.5796193 0.06836259 0.7329596 0.4169789 
8.582523 118 0.8031775 0.5440016 0.7845344 0.648669 0.4180158 0.3887391 0.2084936 0.576704 0.8486159 0.07516184 0.6686251 0.317752 0.5796193 0.06836259 0.7329596 0.4169789 
